"","ISO.code","country","RefDate","mstatus","agegroup","G1.1_Using_Limit","G1.2_Using_Space","G2.1_Unmet_Limit","G2.2_Unmet_Space","G2.3_No_Unmet","G4.1_Unmet_Limit","G4.2_Unmet_Space","G4.3_No_Unmet","Missing","G5_total","G7.1_cp_limiting","G7.2_cp_space","G8.1_unmet_limit","G8.2_unmet_space","G8.3_unmet_total","G8.4_LUP","G7.3_cp_total","G7.4_cp_limiting_proportion","X","Major.area_d"
"18",68,"Bolivia",2008.29234972678,"Married/In-union","[Total]",4402.597197,1758.297135,673.773323,450.709139,583.450443,746.635213,174.325252,268.922147,0,10161.50295,0.433262404,0.173035145,0.139783312,0.061510034,0.201293346,0.694425895230536,0.606297549,0.714603588146783,25,"Latin America and the Caribbean"
"19",76,"Brazil",1996.33333333333,"Married/In-union","[Total]",4760.125116,1059.599753,158.971478,154.135,236.48171,358.810333,150.913001,222.437426,0,7584.125254,0.627643262,0.13971285,0.068271791,0.04022191,0.1084937,0.629269635011065,0.767356112,0.817929579480563,28,"Latin America and the Caribbean"
"20",104,"Myanmar",2016.22131147541,"Married/In-union","[Total]",2688.838849,1364.686259,40.968729,32.234681,681.273184,846.610831,340.27707,531.837691,0,7758.959871,0.346546302,0.175885206,0.114394142,0.048010527,0.162404669,0.704377175264586,0.522431508,0.663333464183022,140,"Asia"
"21",108,"Burundi",2010.87123287671,"Married/In-union","[Total]",450.573383,734.765869,158.932164,708.277025,1478.985853,372.347105,517.03946,418.869952,0.706028,5420.970435,0.083116739,0.13554139,0.098004458,0.226032682,0.32403714,0.302448225533653,0.218658129,0.380121879667232,33,"Africa"
"22",116,"Cambodia",2000.28961748634,"Married/In-union","[Total]",1305.08997,854.37626,581.353086,234.71691,1421.756967,858.746298,1322.964111,400.489855,0,9071.083418,0.14387366,0.094186793,0.158757154,0.171719402,0.330476556,0.480388551374277,0.238060453,0.604357667083831,34,"Asia"
"23",116,"Cambodia",2005.93150684932,"Married/In-union","[Total]",2732.849831,1302.057861,373.117444,245.447099,1453.116749,1317.323386,613.957598,503.304146,0.37239,10086.88334,0.270931044,0.129084259,0.167588022,0.085200222,0.252788244,0.66295813186629,0.400015303,0.677301698130284,34,"Asia"
"24",116,"Cambodia",2010.80273972603,"Married/In-union","[Total]",3711.646927,2164.234364,160.978221,153.913346,1529.119188,1099.334665,556.350992,569.42083,1.003107,11626.31308,0.319245396,0.186149672,0.108401767,0.061091107,0.169492875,0.639565332761038,0.505395068,0.631674933559106,34,"Asia"
"25",116,"Cambodia",2014.66575342466,"Married/In-union","[Total]",4079.490621,2621.286632,76.619999,152.825543,1416.96759,760.366342,492.792,754.332649,0,11898.482,0.342858074,0.22030429,0.07034396,0.054260497,0.124604457,0.564538072663003,0.563162364,0.60880857087957,34,"Asia"
"26",120,"Cameroon",1991.52054794521,"Married/In-union","[Total]",144.518865,316.025892,48.958861,154.807336,737.250563,92.203255,345.133547,462.482978,0,2868.475345,0.05038177,0.110172079,0.049211549,0.174288018,0.223499568,0.220186327161044,0.160553849,0.31379982674847,35,"Africa"
"27",120,"Cameroon",1998.29863013699,"Married/In-union","[Total]",266.909644,444.363412,66.82493,190.910127,841.488181,184.984206,318.680007,702.511746,0,3676.299574,0.0726028,0.120872471,0.068495271,0.138614964,0.207110235,0.330718909183798,0.193475271,0.375256225897727,35,"Africa"
